name	link	author	description	location	pct_funded	amt_pledged	units_left	unit
BABY BABY needs a van so we can come see you!!!	http://www.kickstarter.com/projects/1726535502/baby-baby-needs-a-van-so-we-can-come-see-you?ref=ending_soon	Grant	YO guys. See that van in the pic? That was what we used to get to SXSW this year and it broke down in the bayou........................	Atlanta, GA	13	275	3	day
The Birdsongs - New CD Project	http://www.kickstarter.com/projects/thebirdsongs/the-birdsongs-new-cd-project?ref=ending_soon	The Birdsongs	Friends......Be an essential part of the best CD project that The Birdsongs have ever recorded.	Knoxville, TN	118	5947	3	day
Severed	http://www.kickstarter.com/projects/732836440/see-how-easily-you-can-help-make-a-great-film-give?ref=ending_soon	John Spivey	Severed is about a young woman desperate to find her birth family. She soon learns finding them isn't all it was cut out to be.	Nashville, TN	25	5000	3	day
Sweetie Pie Press 2011 Summer Craft Tour	http://www.kickstarter.com/projects/1356896198/sweetie-pie-press-2011-summer-craft-tour?ref=ending_soon	becky johnson	An idealistic itinerary of wayward roaming across North America, complete with dispatches from the world of indie art and craft.	Toronto, Canada	93	6053	3	day
Miami's Concert Tour to Europe	http://www.kickstarter.com/projects/wyko/miami-universitys-male-chorus-concert-tour-to-euro?ref=ending_soon	Wyko ter Haar	A three-week international concert tour to Europe to bring the spirit of American music beyond our borders.	Luxembourg, Luxembourg	111	1000	3	day
The Unveiling of G. Ramon Byrne's "Composed in Stone"	http://www.kickstarter.com/projects/1737451533/the-unveiling-of-g-ramon-byrnes-composed-in-stone?ref=ending_soon	Friday Lubina	Ramon has tirelessly carved stone for 5-years, creating a life-sized suite of whimsical, musical instruments for the world to enjoy.	Ventura, CA	91	5040	3	day
Be a part of a groundbreaking short film!	http://www.kickstarter.com/projects/noahh/be-a-part-of-a-groundbreaking-short-film?ref=ending_soon	Noah Harald	As the sun sets on mankind's last day, a young couple gives birth to new life and new hope amidst an uncertain future.	Los Angeles, CA	42	1489	3	day
Urban Media- A Documentary Web Series about Urban Culture	http://www.kickstarter.com/projects/anthonyambriz/urban-media-a-documentary-web-series-about-urban-c?ref=ending_soon	Anthony Ambriz	Urban Media is a documentary web series highlighting urban culture and the people who keep it alive.	Provo, UT	101	610	3	day
DAWN - A Short Film	http://www.kickstarter.com/projects/joshuadmatthews/dawn-a-short-film?ref=ending_soon	Joshua Matthews	DAWN, Western set in 1868, follows Nolan as he deals with the loss of his pregnant wife, and tries to help a fugitive woman on the run.	Paintsville, KY	107	5359	3	day
Don L Castor: the journey of an artist*dlc*	http://www.kickstarter.com/projects/donlcastor/don-l-castor-the-journey-of-an-artist-dlc?ref=ending_soon	Don L Castor	Music can change lives and link people from all over the world, but it cannot be done without your help. Please, get on board now!	Los Angeles, CA	170	2550	3	day
double-breasted's new five song EP, "Suit Yourself"	http://www.kickstarter.com/projects/281128566/double-breasteds-new-five-song-ep-suit-yourself?ref=ending_soon	double-breasted	We're taking our harp, cello, drums, and voices to a professional studio to record and package five new rockin original songs!	Hoboken, NJ	85	4276	3	day
Centerville's Debut Album!!	http://www.kickstarter.com/projects/790539366/centervilles-debut-album?ref=ending_soon	Emily	Centerville needs your help to fund the rest of their debut album, "Middle of Nowhere"!!	Greenville, MI	117	3530	3	day
Get LUXURIA by Americans UK on vinyl.	http://www.kickstarter.com/projects/1057081585/get-luxuria-by-americans-uk-on-vinyl?ref=ending_soon	JTR3	The latest offering from Americans UK, LUXURIA is a blend of smooth jazz, new wave sounds, and erotic narratives.	Brooklyn, NY	129	2585	3	day
The Dirties on Diapering 3	http://www.kickstarter.com/projects/sugarsnapphoto/the-dirties-on-diapering-3?ref=ending_soon	Jamie Wilkinson	A coffee-table style full-color book, illustrating through photo-journalism why cloth diapering is so important for parents today.	Portland, OR	82	4976	3	day
Logical Fallacy Videos	http://www.kickstarter.com/projects/921097515/logical-fallacy-videos?ref=ending_soon	Jason Smith	Have you ever heard an argument and thought "that doesn't sound right, but I'm not sure why"? My series of videos should help you out.	Columbus, OH	141	495	3	day
Schismism: Natural Law	http://www.kickstarter.com/projects/semi/schismism-natural-law?ref=ending_soon	Studio of Electronic Music, Inc.	Lisa Karrer’s “Schismism: Natural Law” is a multi-media solo performance inspired by the life of Charles Darwin.	Hartford, CT	107	620	3	day
Wallabout Film Festival -for students, by students- Brooklyn	http://www.kickstarter.com/projects/1797783130/wallabout-film-festival-for-students-by-students-b?ref=ending_soon	Wallabout	Wallabout Film Festival is for students, by students.	Brooklyn, NY	100	2000	3	day
Tengo Miedo- a way to help the world.	http://www.kickstarter.com/projects/1391535681/tengo-miedo-a-way-to-help-the-world?ref=ending_soon	Nelly	Tengo Miedo is a short about child soldiers.The subject matter of this film is extremely important to us. We wanted to show the world.	Los Angeles, CA	19	253	3	day
Trailer Food Diaries: Cookbook	http://www.kickstarter.com/projects/trailerfooddiaries/trailer-food-diaries-cookbook?ref=ending_soon	Tiffany Harelik	Tiffany offers gourmet street food recipes & entrepreneurial stories from the underground 'trailer food' scene in Austin	Austin, TX	38	4571	3	day
"Top That!" Will Take Over the Hollywood Fringe Festival!	http://www.kickstarter.com/projects/courtneydusenberry/top-that-will-take-over-the-hollywood-fringe-festi?ref=ending_soon	Courtney Dusenberry	"Top That!" is a new play about rivalry, regret, and kids' TV shows that will make its world-premiere at the Hollywood Fringe Festival.	Los Angeles, CA	113	2835	3	day
Vassily Primakov records Rachmaninoff	http://www.kickstarter.com/projects/bridgerecords/vassily-primakov-records-rachmaninoff?ref=ending_soon	Bridge Records, Inc.	This new recording presents pianist Vassily Primakov's renditions of some of Rachmaninoff's most beloved works.	New Rochelle, NY	124	3745	3	day
The "Moving Out" Project	http://www.kickstarter.com/projects/cndccui/the-moving-out-project-0?ref=ending_soon	Candace	A one day event featuring artists from the Bay Area working in performance, and the exciting process of making this happen.	San Francisco, CA	10	140	3	day
Tour for Peace	http://www.kickstarter.com/projects/940279785/tour-for-peace?ref=ending_soon	Lauren Manning and Holly Jenkins	Two conservatory students with a passion for promoting peace, Lauren Manning and Holly Jenkins will tour the Middle East.	Amman, Jordan	105	6315	3	day
Enforcing the Silence: Unlocking a 30-year-old mystery	http://www.kickstarter.com/projects/1999185273/enforcing-the-silence-unlocking-a-30-year-old-myst?ref=ending_soon	Tony Nguyen	Unlocking a 30-year-old murder mystery, ENFORCING THE SILENCE explores how the Vietnam War continued in America.	San Francisco, CA	118	5940	3	day
Up and Coming Pop Rock Act Go Go Saggio Hits the Studio	http://www.kickstarter.com/projects/gogosaggio/up-and-coming-pop-rock-act-go-go-saggio-hits-the-s?ref=ending_soon	Go Go Saggio	Nashville pop punk rock trio Go Go Saggio is getting ready to hit the studio with renowned producer and engineer to put out a 4 song EP	Nashville, TN	20	1235	3	day
A Testimony of Serpent Handling	http://www.kickstarter.com/projects/hunterbarnes/a-testimony-of-serpent-handling?ref=ending_soon	Hunter Barnes	A photo documentary of the last Serpent Handling Churches in America being compiled and preserved into a book for future generations.	Jolo, WV	102	12310	3	day
Compass Green: A Mobile Greenhouse Project	http://www.kickstarter.com/projects/2140943094/compass-green-a-mobile-greenhouse-project?ref=ending_soon	Nick Runkle and Justin Cutter	Compass Green is a greenhouse on wheels designed to teach sustainability to new audiences across the country.	Brooklyn, NY	60	16347	3	day
VOZ: Empowering Ethical Fashion	http://www.kickstarter.com/projects/voz/voz-empowering-ethical-fashion?ref=ending_soon	made voz	Please help us make our first contemporary fashion line with Mapuche weavers in Southern Chile!	Temuco, Chile	107	8624	3	day
Earth Wall II - Rammed Earth Sculpture	http://www.kickstarter.com/projects/1981934687/earth-wall-ii-rammed-earth-sculpture?ref=ending_soon	Michael R. Cohen	Earth Wall II is a land art scultpure that explores the ancient building technique of ramming earth.	Covington, LA	129	4540	3	day
El Elle is hungry for Deluxe White Vinyl / CDs > Are YOU??	http://www.kickstarter.com/projects/elelle/el-elle-is-hungry-for-deluxe-white-vinyl-cds-are-y?ref=ending_soon	Lisa Light	El Elle dreams of a heavyweight white vinyl, with a glittering gatefold and a CD to match. Let us AWAKEN her, and pump up the stereo!	San Francisco, CA	81	3540	3	day
Lake Superior, Pointillism Project	http://www.kickstarter.com/projects/stipplefreak/lake-superior-pointillism-project?ref=ending_soon	Rob Christensen	My project is a series of 24 pen & ink illustrations of various scenes of Lake Superior done exclusively using the "stipple" technique	Big Lake, MN	16	1695	3	day
Shimer 09/10- The Unofficial Review	http://www.kickstarter.com/projects/theunofficial/shimer-09-10-the-unofficial-review?ref=ending_soon	Landis	The Unofficial Review is a compilation of reflections from faculty, students, alumni, and board members about the events of last year.	Chicago, IL	185	556	3	day
Pocket Guide to Hell's Haymarket Reenactment	http://www.kickstarter.com/projects/74774683/pocket-guide-to-hells-haymarket-reenactment-0?ref=ending_soon	Paul Durica	Attn., workers! Pocket Guide to Hell announces a full-scale historical reenactment of the Haymarket Affair, on its 125th anniversary.	Chicago, IL	105	1585	3	day
MY SECOND ALBUM IS ALMOST DONE!!	http://www.kickstarter.com/projects/1015556888/my-second-album-is-almost-done?ref=ending_soon	melissa moshe	I was in the middle of recording my album when I lost my job :( The good news all I need is 1800 bucks to finish it!	Los Angeles, CA	100	1800	3	day
Dream Hits (make a record)	http://www.kickstarter.com/projects/551963506/dream-hits-make-a-record?ref=ending_soon	Jared Detsikas	Dream Hits is a 5 song EP by Samantha and Jared.	Boston, MA	161	1615	3	day
Libyan Youth in the Revolution: video reports from Libya	http://www.kickstarter.com/projects/rachelbethanderson/libyan-youth-in-the-revolution-video-reports-from-0?ref=ending_soon	Rachel Beth Anderson	Rachel Anderson goes back to Libya to file weekly video reports on how revolution is changing & inspiring young revolutionary fighters.	Benghazi, Libyan Arab Jamahiriya	10	3103	3	day
Cherry Waves	http://www.kickstarter.com/projects/cdubfilmmaker/cherry-waves?ref=ending_soon	Carey Williams	Fight for Love	Los Angeles, CA	100	10090	3	day
Hot Authors	http://www.kickstarter.com/projects/420330687/hot-authors?ref=ending_soon	canteen magazine	A project that celebrates genius writers. We steal glamorizing marketing techniques from overhyped actors, musicians, and athletes.	New York, NY	13	1134	3	day
Exploring the Forgotten..A Detroit Urbex Adventure	http://www.kickstarter.com/projects/jamiemacd/exploring-the-forgottena-detroit-urbex-adventure?ref=ending_soon	Jamie A. MAcDonald	A city's places of abandonment can also be a place of wonder and beauty. Let me show you how.	Detroit, MI	17	340	3	day
Shortpacked!: A mighty book collection of webcomics	http://www.kickstarter.com/projects/326540223/shortpacked-a-mighty-book-collection-of-webcomics?ref=ending_soon	David Willis	It's a collection of strips from the webcomic Shortpacked!, featuring people who work in a toy store and tell jokes about Batman.	Columbus, OH	106	8545	3	day
Last Texas Cowboy: A Documentary	http://www.kickstarter.com/projects/1452983151/last-texas-cowboy-a-documentary?ref=ending_soon	Erika Houle	Erika Houle is raising money for the post production of Last Texas Cowboy, a documentary about the spirit of Texas and its cowboys.	Terlingua, TX	96	2405	3	day
The Bloodroots Barter produce album number 2... who's in?	http://www.kickstarter.com/projects/877103546/the-bloodroots-barter-produce-album-number-2-whos?ref=ending_soon	Laura	We are 11 songs into recording our awesome second album and are offering a presale to our friends as a means to pay for the production.	Hyden, KY	124	1242	3	day
Help WARHORSE FILMMAKERS Make BREAKING FREE!	http://www.kickstarter.com/projects/1314082871/help-the-warhorse-filmmakers-make-breaking-free?ref=ending_soon	Andrew Wonder	18 Weeks. 9 Kids. 1 Film. NOTHING BUT VICTORY!	Asheville, NC	43	4319	3	day
In the Way with Alan Watts	http://www.kickstarter.com/projects/chrisbritt/in-the-way-with-alan-watts?ref=ending_soon	Chris Britt	In The Way with Alan Watts is a film about the man who brought Eastern thought to the West. Please fund our film on Kickstarter.com!	San Francisco, CA	106	53302	3	day
Something Heroic Album Release	http://www.kickstarter.com/projects/821242367/something-heroic-album-release?ref=ending_soon	Ryne Woodsmall	Help Something Heroic raise funds for their first record project with kickstarter.com!	St Louis, MO	101	505	4	day
Photo Cat T-Shirt - The Lucky Cat for Photographers	http://www.kickstarter.com/projects/1645856853/photo-cat-t-shirt-the-lucky-cat-for-photographers?ref=ending_soon	David Schloss	A custom silkscreened t-shirt with our Photo Cat icon based on the Japanese Lucky Cat or Maneki Neko. 10-color screen, American Appare.	Rockland, NY	21	1266	4	day
Do As You Likey :: Feature Documentary	http://www.kickstarter.com/projects/1343251146/do-as-you-likey-feature-documentary?ref=ending_soon	Do As You Likey Team	An intimate & revealing portrait of life as a British gypsy.	Los Angeles, CA	56	1120	4	day
"Lost & Found" - a story of hope	http://www.kickstarter.com/projects/1217980749/lost-and-found-a-story-of-hope?ref=ending_soon	Sandy Cummings	Two groups of people on opposite sides of the world, both considered the lowest of the low, find each other... and together, find hope.	Bend, OR	71	12895	4	day
Sings With Stars at the World Steam Expo	http://www.kickstarter.com/projects/1010526197/sings-with-stars-at-the-world-steam-expo?ref=ending_soon	Bethany Grenier	In celebration of the 2nd Edition of Sings With Stars, I am raising funds to buy copies and launch it at the World Steam Expo, May 2011	Grand Rapids, MI	144	1152	4	day
Nothing Beneath Us	http://www.kickstarter.com/projects/489142749/nothing-beneath-us?ref=ending_soon	Christopher Carlone	a modern surrealist fairytale that takes place in and out of the dream world of an alcoholic New York dancer named Annabel Lee.	New York, NY	100	6001	4	day
Passing Harold Blumenthal - Feature Film	http://www.kickstarter.com/projects/692292475/passing-harold-blumenthal-feature-film?ref=ending_soon	Seth Fisher	"Passing Harold Blumenthal" is a feature-length comedy about family in New York in the wake of a famous playwright's death.	New York, NY	100	50272	4	day
Join in being part of Alash Ensemble's new CD	http://www.kickstarter.com/projects/alash/join-in-being-part-of-alash-enesembles-all-new-cd?ref=ending_soon	Sean Quirk	Alash has recorded their third album in the studios of Bela Fleck . Thanks to the Flecktones for their support and friendship!	Milwaukee, WI	120	2410	4	day
Drunk Dial: You're Drunk, We're Drunk, Let's Talk About It!	http://www.kickstarter.com/projects/drunkdial/drunk-dial-youre-drunk-were-drunk-lets-talk-about?ref=ending_soon	DrunkDialDrunks	Drunk Dial, the world’s first and only 100% DRUNK live web-series! No-holds-barred advice you won't remember in the morning.	Austin, TX	103	5195	4	day
GIRLY: If Online Poker Players Were A Bunch Of Chicks	http://www.kickstarter.com/projects/235275055/girly-if-online-poker-players-were-a-bunch-of-chic?ref=ending_soon	Li Dong	The pilot episode for a webseries about 4 girls who play online poker for a living and who spend way too much time on the internet.	Montréal, Canada	30	1535	4	day
The Beginnings of Grief - Seed a Feature	http://www.kickstarter.com/projects/820013731/the-beginnings-of-grief-seed-a-feature?ref=ending_soon	Mark Levine	A teen boy heals from the death of his parents through a reluctant and violent relationship with another boy. Filming in Portland, OR.	Portland, OR	33	5084	4	day
Sweeter Dreams - A New Multimedia Play	http://www.kickstarter.com/projects/1284829081/sweeter-dreams-a-new-multimedia-play?ref=ending_soon	Duncan Pflaster	"Sweeter Dreams" is a new multimedia play by Duncan Pflaster, coming to Planet Connections Theatre Festivity June 2011!	New York, NY	86	3465	4	day
Higher = My Debut EP!	http://www.kickstarter.com/projects/437957138/higher-my-debut-ep?ref=ending_soon	Dian Sentino	I have so much music I want to share! Let's start with 5 original songs + a bonus Jazz Standard and my Thank You...	Brooklyn, NY	13	930	4	day
NewGrounds 2011	http://www.kickstarter.com/projects/1316851077/newgrounds-2011?ref=ending_soon	Moving Current	NewGrounds is an exciting annual concert, dedicated to the development of Florida’s choreographic voices and to showcase their work.	Tampa, FL	67	2021	4	day
Counter Culture	http://www.kickstarter.com/projects/675735677/counter-culture?ref=ending_soon	Reba Elliott	A coffee-table book that shares food histories from Lifting Voices kids. We're a nonprofit. We believe all kids have something to say.	Washington, DC	100	5031	4	day
Save the Veggies!	http://www.kickstarter.com/projects/1705483788/save-the-veggies?ref=ending_soon	Common Ground Farm	Help Common Ground Farm build a fence around our new 2 acres of land. We'll thwart the deer and enjoy nibble-free veggies all season!	Wappingers Falls, NY	114	1150	4	day
LYNDY BUTLER is "ON THE BRINK" of finishing her DEBUT Album!	http://www.kickstarter.com/projects/76275819/lyndy-butler-is-on-the-brink-of-finishing-her-debu?ref=ending_soon	Lyndy Butler	Lyndy Butler is finally doing it. The debut album is started but we need your help to finish. You're going to love it. pre-order it now	Hurricane, UT	160	4415	4	day
kfhOX studio time	http://www.kickstarter.com/projects/kfhox/kfhox-studio-time?ref=ending_soon	Kathryn F Hoxie	I'm raising money to make my DREAM of recording my first EP a REALITY! With your help, I can finally LIVE MY DREAMS!	Queens, NY	77	3895	4	day
All-Mozart Extravaganza with the ESS and NYFS	http://www.kickstarter.com/projects/1335906455/all-mozart-extravaganza-with-the-ess-and-nyfs?ref=ending_soon	awspencerllc	Join the Empire State Sinfonia and New York Festival in an all-Mozart extravaganza, May 7th at 8 PM, the Church of St. Paul in NYC.	Manhattan, NY	40	400	4	day
"Let" - A Feature Film	http://www.kickstarter.com/projects/goatfilms/let-a-feature-film?ref=ending_soon	G.O.A.T FILMS	The story of a single-father who is determined that his 12-year old daughter play tennis and thus redeem his deferred dream.	Austin, TX	19	3839	4	day
Cello Practice Video Project	http://www.kickstarter.com/projects/2033684493/suzuki-cello-practice-video-project?ref=ending_soon	Abigail McHugh	I will create instructional videos to help beginning and intermediate level cellists with their practice.	Rochester, NY	103	2890	4	day
Steel Phantoms: The EP	http://www.kickstarter.com/projects/stlphntms/steel-phantoms-the-ep?ref=ending_soon	STEEL PHANTOMS	We are recording April 1-8 in an old Victorian house up in CT. We need to make this EP so the world can hear how great we are.	Brooklyn, NY	103	5190	4	day
Children's Educational Music CD; Healthy, Wealthy & ...	http://www.kickstarter.com/projects/144268232/childrens-educational-music-cd-healthy-wealthy-and?ref=ending_soon	BenJammin Gauthier	We write songs that teach. Our newest CD, "Healthy, Wealthy &...", covers any array of subjects that will inspire children to learn.	Vicksburg, MI	54	1646	4	day
Song-A-Day: The Album	http://www.kickstarter.com/projects/jonathanmann/song-a-day-the-album?ref=ending_soon	Jonathan Mann	An album celebrating the glorious, horrible, beautiful and ugly of creativity: 1000 days of writing a song a day.	Berkeley, CA	113	11300	4	day
The Wizard of OZcar	http://www.kickstarter.com/projects/546893995/the-wizard-of-ozcar?ref=ending_soon	Varti Torossian	Uplifting film promoting diversity, sustainability and education. We'll recycle all our sets and give back to underprivileged children.	Pasadena, CA	59	1490	4	day
Cairo Rising Music Project	http://www.kickstarter.com/projects/jefstott/cairo-rising-music-project?ref=ending_soon	Jef Stott	A collaborative project (album/website/film) of young Arabic fusion artists recorded in Cairo documenting the Middle East revolutions	San Francisco, CA	24	1869	4	day
Help Bradford Hastings make a new record and go on tour!!	http://www.kickstarter.com/projects/1514193102/help-bradford-hastings-make-a-new-record-and-go-on?ref=ending_soon	Bradford Hastings	I have the songs, the producer and the musicians, I need YOU to make it really happen! We have 30 days I know we can do it!!	Austin, TX	40	2445	4	day
We're making a pocket-sized guide for Portland-bound bikers!	http://www.kickstarter.com/projects/pdxbybike/were-making-a-pocket-sized-guide-for-portland-boun?ref=ending_soon	PDX BIKE	We are creating a travel guide so that people visiting Portland can see our town the way locals do—by bicycle!	Portland, OR	74	1497	4	day
"When I Die, Please Send Me Home"	http://www.kickstarter.com/projects/773243090/when-i-die-please-send-me-home?ref=ending_soon	Joshua Rofé	A documentary about the over 2500 children serving life without parole in The United States of America.	Los Angeles, CA	132	19924	4	day
Big Fat Whale trio are recording a new album!	http://www.kickstarter.com/projects/bfw/big-fat-whale-trio-are-making-a-new-album?ref=ending_soon	Big Fat Whale	WE are THE BIG FAT WHALE TRIO recording our second latin jazz album come and B a part of it!	Tel Aviv, Israel	20	1215	4	day
Ryan Fitzsimmons NEW RECORD - COLD SKY	http://www.kickstarter.com/projects/ryanfitzsimmons/ryan-fitzsimmons-new-record?ref=ending_soon	Ryan Fitzsimmons	Ryan Fitzsimmons' first full-lenth recording since 2004 entitled "Cold Sky" is in the final stages. Help Ryan make it a reality!	Boston, MA	102	3075	4	day
The Number One Fan: a story about Mona, the Bearded Lady	http://www.kickstarter.com/projects/1132504370/the-number-one-fan-a-story-about-mona-the-bearded?ref=ending_soon	Meera Joshi	The story of a freak show star, ready to shave her prized possession. Yet savior may come from the most unlikely source.	New York, NY	36	145	4	day
Moon Hooch Album	http://www.kickstarter.com/projects/moonhooch/moon-hooch-album?ref=ending_soon	Moon Hooch	We are raising money to finally finish making our album. Thanks!	Brooklyn, NY	124	3850	4	day
Kensington CAPA Garden & Mural - DVGBC Earth Day of Service	http://www.kickstarter.com/projects/36365438/kensington-capa-garden-and-mural-dvgbc-earth-day-o?ref=ending_soon	Delaware Valley Green Building Council	Kensington CAPA High School is working towards getting a vegetable garden built and an exterior mural painted to celebrate Earth Day!	Philadelphia, PA	37	1305	4	day
STH - Not Just A Cover Band	http://www.kickstarter.com/projects/762627682/sth-not-just-a-cover-band?ref=ending_soon	Sweeter Than Honey	Sweeter Than Honey (STH) is putting together their first CD album showcasing their originality in the pop-rock/alternative music scene.	Florham Park, NJ	66	2000	4	day
Canyon Road	http://www.kickstarter.com/projects/canyonroadmovie/canyon-road-a-feature-length-thriller-film?ref=ending_soon	Calix Lewis Reneau	Canyon Road: a feature film thriller about a young couple with a troubled marriage trapped under a literal landslide in Malibu Canyon.	Los Angeles, CA	43	2809	5	day
Rapid type : The Mobile Coffee Platform	http://www.kickstarter.com/projects/1221569912/rapid-type-the-mobile-coffee-platform?ref=ending_soon	Tyler Pew	Working within an advanced architectural studio Rapid type is a mobile coffee platform. Creatively designed and thoroughly researched.	San Francisco, CA	77	1925	5	day
"Going Down in LA-LA Land" finishing funds	http://www.kickstarter.com/projects/casper/going-down-in-la-la-land-finishing-funds?ref=ending_soon	Casper Andreas	The dark comedy is a candid, sexy, and outrageously funny look at what and actor can -- and will do-- to survive in Hollywood.	New York, NY	88	8853	5	day
Music You Shouldn't Choreograph To	http://www.kickstarter.com/projects/614130404/music-you-shouldnt-choreograph-to?ref=ending_soon	Redd Legg Dance	Seattle-based modern dance company, Redd Legg Dance, presents an evening of works set to some favorite tunes from the 80s and 90s!	Seattle, WA	108	1083	5	day
Rein[Forcements] NEEDED! Funding for new Rein[Forced] CD!	http://www.kickstarter.com/projects/2069011903/rein-forcements-needed-funding-for-new-rein-forced?ref=ending_soon	Jim Semonik	Pittsburgh based Rein[Forced]'s new CD, X Amount of Stabwounds in the Back is set for release and needs help funding production.	Pittsburgh, PA	161	2426	5	day
You're the Key to Suite 709: Help Fund the Debut Album	http://www.kickstarter.com/projects/suite709/youre-the-key-to-suite-709-help-fund-the-debut-alb?ref=ending_soon	Suite 709	Yes, You are the Key to Suite 709! We have an incredible team lined up to work with us on this album, but we can't do it without you!	Austin, TX	88	8800	5	day
Collaboration & Cross-Pollination	http://www.kickstarter.com/projects/1902217603/collaboration-and-cross-pollination?ref=ending_soon	Amy Bunker	"Collaboration & Cross-Pollination" is a seed project aimed to foster the sharing of artwork and art-based information between regions.	Austin, TX	104	4160	5	day
The Unusual (Calling of) Charlie Christmas	http://www.kickstarter.com/projects/outsidersproductions/the-unusual-calling-of-charlie-christmas?ref=ending_soon	Outsiders Productions	"The Unusual...Charlie Christmas" is the story of a bullied, socially awkward janitor inspired to become a costumed vigilante.	Shawnee, OK	151	7551	5	day
Taz and Cave Man - the movie	http://www.kickstarter.com/projects/1143679306/taz-and-cave-man-the-movie?ref=ending_soon	Rale Sidebottom	A film that explores the moment in life when we take a step back and try to figure out what we want to do with the rest of our lives.	Portland, OR	47	955	5	day
A World of Her Own	http://www.kickstarter.com/projects/ralphblanchard/a-world-of-her-own?ref=ending_soon	Ralph Blanchard	This short documentary is a portrait of Patri, a victim of schizophrenia and her family who has adapted to her world.	Monterey, CA	100	350	5	day
Left: A Resonant Porcelain Installation	http://www.kickstarter.com/projects/2086799554/left-a-resonant-porcelain-installation?ref=ending_soon	Amanda Klimek	A chorus of glowing, humming forms - hands floating up and leaves falling down. An installation sculpture of porcelain and sound.	San Francisco, CA	135	810	5	day
Field Guide to the Amphibians of the Western Ghats of India	http://www.kickstarter.com/projects/matthewhalley/field-guide-to-the-amphibians-of-the-western-ghats-0?ref=ending_soon	Matthew Halley	The very first comprehensive "Field Guide to the Amphibians of the Western Ghats of India" - an incredible tool for conservation.	Philadelphia, PA	30	1547	5	day
Tom Conlon : The Making Of	http://www.kickstarter.com/projects/75640323/tom-conlon-the-making-of?ref=ending_soon	Tom Conlon	An album designed to take my music from our grassroots community to folks far and wide who haven't heard.	Nashville, TN	132	9261	5	day
fattoria, cucina, tavola - adventures in italian food words	http://www.kickstarter.com/projects/emilymae/fattoria-cucina-tavola-adventures-in-italian-food?ref=ending_soon	Emily Mae	A compendium of Italian food words, plus stories, photos, and recipes from 9 months of farming in Toscana, Sicilia, and Emilia-Romagna.	Bologna, Italy	33	1855	5	day
VOTA House Party Contest for Troy Stickels	http://www.kickstarter.com/projects/1388978138/vota-house-party-contest-for-troy-stickels?ref=ending_soon	Bryan Olesen	Troy has entered our VOTA House Party tour contest and invited you to join the party!	Blue Hill, NE	100	1000	5	day
Brookford Almanac	http://www.kickstarter.com/projects/cozette/brookford-almanac?ref=ending_soon	Cozette Russell	A year in the complex and beautiful life of first-generation American farmers.	Rollinsford, NH	108	5425	5	day
Bye Bye Balloon and Smile Every Day!	http://www.kickstarter.com/projects/180414241/bye-bye-balloon-and-smile-every-day?ref=ending_soon	Ryan SanAngelo	The tale of an adventurous balloon's journey around the world + an awesome music CD & activity book where kids can be illustrators.	Fairfield, CT	104	2081	5	day
MARKET OF FAITH a documentary film	http://www.kickstarter.com/projects/432132756/market-of-faith-a-documentary-film?ref=ending_soon	Kerri Lines and Sophia Solomon	Market of Faith is a film that seeks to understand the transition between tradition & innovation in the Ethiopian agricultural market.	Boston, MA	64	4547	5	day
Send Hello Again Monsters to the OneOfAKind Show - Vancouver	http://www.kickstarter.com/projects/1266623895/send-hello-again-monsters-to-the-oneofakind-show-v?ref=ending_soon	Romiette Lindsley	Hello Again Monsters want to take over the world! Based out of Seattle, I think its time to take them on the road.	Seattle, WA	114	1240	5	day
Kickstart 18 Paintings: May 4 - 7th at HERE Arts Center!	http://www.kickstarter.com/projects/793848675/kickstart-18-paintings-may-4-7th-at-here-arts-cent?ref=ending_soon	Dylan Levers	18 Paintings is a dance-theatre work created by Dylan Stephen Levers playing at HERE Arts Center May 4 - 7th, 2011.	New York, NY	96	1200	5	day
"Renaissance": CD of creative, personal, and universal songs	http://www.kickstarter.com/projects/1531035796/renaissance-cd-of-creative-personal-and-universal?ref=ending_soon	Paul Voudouris	The recording, mixing, masteringand production of a new cd, titled "Renaissance" (my first in nine years)...beautiful, unique melodies!	San Miguel De Allende, Mexico	85	21441	5	day
"A Light in the Dark" World Premiere!	http://www.kickstarter.com/projects/80744163/a-light-in-the-dark-world-premiere?ref=ending_soon	scott mason	Help us sell our feature length documentary film and secure distribution during our world premiere at Newport Beach Film Festival!	Newport Beach, CA	124	3116	5	day
Augustine: EP and Mini-tour to go with our Name Change!	http://www.kickstarter.com/projects/augustinerocks/augustine-ep-and-mini-tour-to-go-with-our-name-cha?ref=ending_soon	Augustine	Augustine (soon to change) has a new EP recorded, now we need to mix, master and press it for you, then bring it to you on a mini-tour!	Syracuse, NY	53	1348	5	day
Bess Rogers is making a new record!	http://www.kickstarter.com/projects/838470061/bess-rogers-is-making-a-new-record?ref=ending_soon	Bess	Well, technically I've already made the record. Now I just need to release it. And to do that, I need your help!	Brooklyn, NY	213	21355	5	day
Co-Create a Mantra CD to Elevate the Spirit!	http://www.kickstarter.com/projects/994536984/co-create-a-mantra-cd-to-elevate-the-spirit?ref=ending_soon	Robin Bruce	8-song CD containing mantras from the Kundalini yoga tradition. Expect funky beats as well as soothing instrumentals!	Austin, TX	10	800	5	day
